,Book Title,Author
2066,The Deceivers,John Masters
2067,This Side of Paradise,F. Scott Fitzgerald
2068,The King Must Die,Mary Renault
2069,Sleeping Beauty,Ross Macdonald
2070,At Play in the Fields of the Lord,Peter Matthiessen
2071,The House Of Splendid Isolation,Edna O'Brien
2072,Lucy,Jamaica Kincaid
2073,Where Angels Fear to Tread,E. M. Forster
2074,Greenmantle,John Buchan
2075,Dealing With Dragons,Patricia C. Wrede
2076,Rapture,Carol Ann Duffy
2077,Hard-Boiled Wonderland and the End of the World,Haruki Murakami
2078,"Raise High the Roof Beam, Carpenters: And, Seymour, an Introduction",J. D. Salinger
2079,Shadow & Claw,Gene Wolfe
2080,The Man Who Was Thursday,G. K. Chesterton
2081,Black Sheep,Georgette Heyer
2082,Normal People,Sally Rooney
2083,Woodcutters,Thomas Bernhard
2084,The Book of the New Sun,Gene Wolfe
2085,Good Omens,Terry Pratchett
2086,The Theogony,Hesiod
2087,You Shall Know Our Velocity,Dave Eggers
2088,Been Down So Long it Looks Like Up to Me,Richard Fariña
2089,"Little, Big",John Crowley
2090,Jayber Crow,Wendell Berry
2091,"130 ""best of"" book lists",list details page
2092,Devil in a Blue Dress,Walter Mosley
2093,Drown,Junot Diaz
2094,The Blue Sword,Robin McKinley
2095,A Little Princess,Frances Hodgson Burnett
2096,The Conservationist,Nadine Gordimer
2097,A Bell for Adano,John Hersey
2098,March,Geraldine Brooks
2099,The Eighth Day,Thornton Wilder
2100,So Big,Edna Ferber
2101,Victory Over Japan: A Book of Stories,Ellen Gilchrist
2102,Redeployment,Phil Klay
2103,Behold the Dreamers,Imbolo Mbue
2104,Sea Monsters,Chloe Aridjis
2105,Lamb in His Bosom,Caroline Miller
2106,In This Our Life,Ellen Glasgow
2107,Heat and Dust,Ruth Prawer Jhabvala
2108,Moon Tiger,Penelope Lively
2109,Less,Andrew Sean Greer
2110,The Lion and the Mouse,Jerry Pinkney
2111,Binocular Vision,Edith Pearlman
2112,The Collected Stories of Deborah Eisenberg: Stories,Deborah Eisenberg
2113,Holiday,Stanley Middleton
2114,Martin Dressler: The Tale of an American Dreamer,Steven Millhauser
2115,Foreign Affairs,Alison Lurie
2116,The Reivers,William Faulkner
2117,The Able McLaughlins,Margaret Wilson
2118,Fortune Smiles: Stories,Adam Johnson
2119,Honey in the Horn,Harold L. Davis
2120,Years of Grace,Margaret Ayer Barnes
2121,Laughing Boy,Oliver La Farge
2122,Mrs. Ted Bliss,Stanley Elkin
2123,A Frolic of His Own,William Gaddis
2124,Kate Vaiden,Reynolds Price
2125,The Way West,"A. B. Guthrie, Jr"
2126,Elbow Room,James Alan McPherson
2127,Journey in the Dark,Martin Flavin
2128,Call Me Zebra,Azareen Van der Vliet Oloomi
2129,Advise and Consent,Allen Drury
2130,The Hair of Harold Roux,Thomas Williams
2131,Everyman,Philip Roth
2132,Spartina,John Casey
2133,A Crown of Feathers and Other Stories,Isaac Bashevis Singer
2134,Staying On,Paul Scott
2135,The Finkler Question: A Novel,Howard Jacobson
2136,Dusk,James Salter
2137,A Summons to Memphis,Peter Taylor
2138,Steps,Jerzy Kosinski
2139,The Great Man,Kate Christensen
2140,War Trash,Ha Jin
2141,The Travels of Jaimie McPheeters,Robert Lewis Taylor
2142,"130 ""best of"" book lists",list details page
2143,The Bear Comes Home,Rafi Zabor
2144,Collected Poems,Jack Gilbert
2145,My Name Is Lucy Barton,Elizabeth Strout
2146,How German Is It,Walter Abish
2147,Middle Passage,Charles R. Johnson
2148,The Testaments,Margaret Atwood
2149,The Keepers of the House,Shirley Ann Grau
2150,George Mills,Stanley Elkin
2151,Everything Begins and Ends at the Kentucky Club,Benjamin Alire Sáenz
2152,The Wonderful Story of Henry Sugar,Roald Dahl
2153,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie
2154,Saville,David Storey
2155,October Light,John Gardner
2156,Early Autumn,Louis Bromfield
2157,Lord of Misrule: The Morganville Vampires,Rachel Caine
2158,Ten North Frederick,John O'Hara
2159,His Family,Ernest Poole
2160,"Girl, Woman, Other",Bernardine Evaristo
2161,The Middleman and Other Stories,Bharati Mukherjee
2162,Postcards,E. Annie Proulx
2163,Something to Answer For,P. H. Newby
2164,Paris Trout,Pete Dexter
2165,Lila,Marilynne Robinson
2166,The Overstory,Richard Powers
2167,Plains Song,Wright Morris
2168,Soldiers in Hiding,Richard Wiley
2169,Everything Inside: Stories,Edwidge Danticat
2170,Motherless Brooklyn,Jonathan Lethem
2171,Being Dead,Jim Crace
2172,The Town,Conrad Richter
2173,The Edge of Sadness,Edwin O'Connor
2174,The Buddha in the Attic,Julie Otsuka
2175,The Complete Fairy Tales of Charles Perrault,Charles Perrault
2176,War Dances,Sherman Alexie
2177,Olive Kitteridge,Elizabeth Strout
2178,Sent for You Yesterday,John Edgar Wideman
2179,The Store,Thomas Sigismund Stribling
2180,A Good Scent from a Strange Mountain,Robert Olen Butler
2181,We are All Completely Beside Ourselves,Karen Joy Fowler
2182,In America,Susan Sontag
